國文,英文,數學,社會,自然
9,15,11,10,9
6,14,6,13,11
10,8,9,6,8
6,8,15,14,12
12,10,13,14,9
11,7,12,9,11
12,6,10,12,13
9,15,12,6,9
9,6,6,10,9
12,7,7,6,10
8,7,13,15,14
13,10,12,10,10
12,6,10,15,10
11,10,8,12,8
13,13,7,10,7
7,14,12,13,7
7,13,12,14,11
11,9,15,15,14
10,9,8,9,7
15,7,9,12,10
12,15,15,10,6
6,10,11,12,8
14,7,7,8,8
14,15,10,9,9
15,6,13,15,12
6,9,7,11,13
10,9,11,8,13
8,6,7,11,8
15,8,11,12,14
15,14,8,14,6
6,10,10,14,6
8,11,14,12,11
15,13,8,14,7
9,9,15,6,9
7,14,6,11,10
11,12,10,8,13
13,8,7,15,15
12,12,14,9,6
9,11,8,6,15
15,7,11,6,12
13,6,6,13,12
6,13,9,12,9
7,9,11,11,15
13,14,15,11,10
6,6,6,8,13
12,15,12,7,10
8,6,6,14,9
8,12,14,13,13
13,13,15,11,13
13,7,11,9,8
13,9,13,10,6
13,10,8,14,6
6,15,10,12,12
10,6,10,12,11
8,6,11,7,12
11,11,8,8,6
9,9,13,12,11
6,10,15,10,10
15,8,15,7,13
13,13,6,14,9
13,11,14,12,9
11,9,9,6,10
11,9,14,11,14
10,8,10,9,7
9,7,6,14,8
8,12,7,8,10
15,8,11,6,7
7,6,11,14,11
7,6,13,15,8
12,8,8,8,14
8,9,15,13,12
13,8,12,11,15
9,12,7,11,9
14,12,15,8,9
13,10,15,15,8
7,6,9,15,9
8,7,8,13,7
15,8,15,12,12
6,13,15,11,13
9,12,8,12,10
10,6,10,12,6
9,9,13,15,15
10,8,13,11,6
7,7,12,15,12
9,10,10,11,9
14,10,7,12,12
6,11,13,12,13
10,6,12,13,6
15,6,14,8,14
6,14,10,12,7
10,9,11,7,13
6,14,14,15,6
13,7,14,10,15
8,14,11,11,7
10,12,8,9,14
11,14,10,7,12
11,6,7,12,15
13,6,7,11,6
9,13,9,11,12
9,15,12,11,7
